TERM,SUBJECT,CATALOG_NBR,CLASS_SECTION,CLASS_NUMBER,COURSE_DESCR,INSTR_LAST_NAME,INSTR_FIRST_NAME,A,B,C,D,F,SASTISFACTORY,TOTAL_DROPPED,AVG_GPA
Fall 2024,MANA,6A25,1,10010,Ethical Leadrshp & Crit Reason,Krylova,Ksenia O,9,0,0,0,0,0,0,4.000
Fall 2022,SCM,6301,2,10010,Supply Chain Mgt Foundations,Smith,Gordon D,8,1,0,0,0,0,0,3.926
Fall 2023,SCM,6301,2,10010,Supply Chain Mgt Foundations,Smith,Gordon D,8,3,1,0,0,0,0,3.611
Fall 2022,MANA,6A25,1,10011,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,9,3,0,0,0,0,0,3.695
Fall 2024,MANA,6332,1,10011,Organiztnl Behavior & Mangemnt,Werner,Steve,8,1,0,0,0,0,0,3.889
Fall 2024,BZAN,6310,5,10012,Quant Analysis for Busn Dec,Johnson,Norman A,5,4,0,0,0,0,0,3.482
Fall 2023,MANA,6A25,1,10012,Ethical Leadrshp & Crit Reason,Krylova,Ksenia O,18,0,0,0,0,0,0,4.000
Fall 2022,MANA,6A25,2,10012,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,10,2,1,0,0,0,0,3.667
Fall 2024,BZAN,6310,6,10013,Quant Analysis for Busn Dec,Johnson,Norman A,5,2,2,0,0,0,0,3.223
Fall 2022,MANA,6332,1,10013,Organiztnl Behavior & Mangemnt,Werner,Steve,12,0,0,0,0,0,0,4.000
Fall 2023,MANA,6332,1,10013,Organiztnl Behavior & Mangemnt,Werner,Steve,18,0,0,0,0,0,0,3.982
Fall 2022,BZAN,6310,5,10014,Quant Analysis for Busn Dec,Johnson,Norman A.,9,3,0,0,0,0,0,3.778
Fall 2023,BZAN,6310,5,10014,Quant Analysis for Busn Dec,Johnson,Norman A,11,6,0,0,0,0,0,3.569
Fall 2024,MANA,6383,1,10014,Strategic Managment,Carlin,Barbara A,4,2,0,0,0,0,0,3.667
Fall 2022,BZAN,6310,6,10015,Quant Analysis for Busn Dec,Johnson,Norman A.,10,3,0,0,0,0,0,3.744
Fall 2023,BZAN,6310,6,10015,Quant Analysis for Busn Dec,Johnson,Norman A,8,3,0,0,0,0,0,3.757
Fall 2024,COMM,6399,01,10015,Masters Thesis,Yamasaki,Jill S,3,0,0,0,0,0,0,4.000
Fall 2024,SOCW,8323,1,10017,Research Methods III,Scott Jr,Edward Douglas,9,0,0,0,0,0,0,4.000
Fall 2022,COMM,6399,01,10018,Masters Thesis,Camaj,Lindita,2,0,0,0,0,0,0,4.000
Fall 2023,COMM,6399,01,10018,Masters Thesis,Camaj,Lindita,3,0,0,0,0,0,0,4.000
Fall 2022,SOCW,8334,1,10019,Social Policy Analysis,Ali,Samira Bano,7,0,0,0,0,0,1,4.000
Fall 2023,SOCW,8334,1,10019,Social Policy Analysis,Ali,Samira Bano,3,1,0,0,0,0,0,3.750
Summer 2024,MARK,3336,01,10020,Introduction to Marketing,Zahn,William J,49,86,35,2,2,0,3,2.991
Fall 2024,PHIL,1301,04,10020,Intro To Philosophy,Haaga,Curtis W,21,15,8,3,0,0,1,3.170
Fall 2022,SOCW,8323,1,10020,Research Methods III,Sampson,McClain,6,1,0,0,0,0,0,3.904
Fall 2023,SOCW,8323,1,10020,Research Methods III,Walton,Quenette,5,1,0,0,0,0,0,3.833
Summer 2022,MANA,6398,01,10021,Research,Keller,Robert T,0,1,0,0,0,0,0,3.000
Summer 2024,MARK,6398,01,10021,Research,Herman,Carl,1,0,0,0,0,0,0,4.000
Fall 2024,PHIL,1305,01,10021,Intro To Ethics,Aiman,Edwin E,60,33,8,0,5,0,6,3.330
Fall 2022,SOCW,8395,03,10021,Pre-Dissertation Research,Torres,Isabel,0,0,0,0,0,0,0,
Summer 2022,MARK,3336,01,10022,Introduction to Marketing,Zahn,William J,62,39,6,0,1,0,2,3.491
Summer 2023,MARK,3336,01,10022,Introduction to Marketing,Zahn,William J,24,37,12,5,2,0,1,2.950
Fall 2022,PHIL,1301,03,10022,Intro To Philosophy,Haaga,Curtis W,23,17,4,0,1,0,1,3.297
Fall 2023,PHIL,1301,03,10022,Intro To Philosophy,Haaga,Curtis W,30,12,4,2,0,0,0,3.445
Fall 2024,PHIL,1361,01,10022,Philosophy and the Arts,Drapela,Nick Gerard,8,21,6,1,3,0,11,2.702
Fall 2024,ARCH,1500,01,10023,Design Studio I,Wells,Adam C,10,4,2,0,0,0,0,3.397
Summer 2023,MARK,6398,01,10023,Research,Herman,Carl,7,0,0,0,0,0,0,4.000
Fall 2022,PHIL,1301,04,10023,Intro To Philosophy,Haaga,Curtis W,42,16,0,0,0,0,0,3.622
Fall 2023,PHIL,1301,04,10023,Intro To Philosophy,Haaga,Curtis W,35,14,1,0,0,0,2,3.654
Fall 2022,PHIL,1305,01,10024,Intro To Ethics,Aiman,Edwin E,31,27,5,2,3,0,2,3.157
Fall 2023,PHIL,1305,01,10024,Intro To Ethics,Aiman,Edwin E,31,31,1,1,5,0,4,3.150
Fall 2024,ARCH,1500,03,10025,Design Studio I,Murray,Cara,2,10,3,0,0,0,1,3.021
Fall 2022,PHIL,1361,01,10025,Philosophy and the Arts,Drapela,Nick Gerard,11,19,10,3,0,0,7,2.876
Fall 2023,PHIL,1361,01,10025,Philosophy and the Arts,Drapela,Nick Gerard,20,13,8,2,1,0,7,3.106
Fall 2022,ARCH,1500,01,10026,Design Studio I,Lutz,Shawn M,8,4,2,0,0,0,0,3.429
Fall 2023,ARCH,1500,01,10026,Design Studio I,Benjamin,Gregory,9,5,1,0,0,0,0,3.401
Fall 2024,ARCH,1500,05,10027,Design Studio I,McEuen,Aaron Ross,6,7,2,0,0,0,0,3.289
Fall 2022,ARCH,1500,03,10028,Design Studio I,Murray,Cara,4,6,1,0,0,0,2,3.303
Fall 2023,ARCH,1500,03,10028,Design Studio I,Murray,Cara,3,7,1,0,1,0,2,2.889
Fall 2022,ARCH,1500,05,10030,Design Studio I,Li,Leyuan,8,5,0,0,0,0,1,3.565
Fall 2023,ARCH,1500,05,10030,Design Studio I,Perez Lopez,Elena Maria,8,5,2,0,0,0,0,3.356
Fall 2024,ARCH,1500,09,10031,Design Studio I,Price,Desirae,3,11,0,0,0,0,0,3.144
Summer 2022,HLT,1353,01,10031,Personal Health,Rafique,Kiran Sajid,90,7,1,1,0,0,1,3.835
Fall 2022,ARCH,1500,07,10032,Design Studio I,Wells,Adam C,2,8,2,0,0,0,2,3.110
Fall 2023,ARCH,1500,07,10032,Design Studio I,Wells,Adam C,0,12,1,0,0,0,0,3.025
Summer 2022,INDE,2333,01,10032,Engineering Statistics I,Wiggins,Nathanial David,21,9,1,0,0,0,0,3.485
Summer 2023,INDE,2333,01,10032,Engineering Statistics I,Wiggins,Nathanial David,1,3,0,0,0,0,0,3.250
Fall 2024,ARCH,1500,11,10033,Design Studio I,Woodfill,Celeste Ponce,2,7,3,0,0,0,2,2.807
Summer 2022,LAW,5103,01,10033,Health Law Journal,Mantel,Jessica,0,0,0,0,0,0,0,
Fall 2022,ARCH,1500,09,10034,Design Studio I,Gaines,Preston,6,4,2,0,0,0,0,3.278
Fall 2023,ARCH,1500,09,10034,Design Studio I,Wienert,Ross George,7,4,2,0,0,0,2,3.385
Fall 2024,ARCH,1500,13,10035,Design Studio I,Olwi,Asmaa,5,6,3,0,0,0,0,3.166
Summer 2022,LAW,5110,01,10035,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2024,LAW,5210,01,10035,Law Review,Sanders,Joseph,0,0,0,0,0,0,0,
Fall 2022,ARCH,1500,11,10036,Design Studio I,Kudless,Andrew Justin,6,3,2,0,1,0,1,3.001
Fall 2023,ARCH,1500,11,10036,Design Studio I,Kudless,Andrew Justin,12,3,0,0,0,0,0,3.822
Fall 2024,ARCH,2350,01,10037,Hist of the Built Environmt I,Ramaswamy,Deepa,71,87,12,6,2,0,2,3.173
Fall 2022,ARCH,1500,13,10038,Design Studio I,Olwi,Asmaa,3,3,0,0,0,0,5,3.500
Fall 2023,ARCH,1500,13,10038,Design Studio I,Olwi,Asmaa,5,8,1,0,0,0,0,3.333
Summer 2022,LAW,5210,01,10038,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,LAW,5210,01,10038,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2024,LAW,5410,01,10039,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Fall 2022,ARCH,2350,01,10040,Hist of the Built Environmt I,Ramaswamy,Deepa,60,92,11,2,8,0,4,3.049
Fall 2023,ARCH,2350,01,10040,Hist of the Built Environmt I,Ramaswamy,Deepa,91,59,15,3,5,0,7,3.203
Summer 2022,LAW,5410,01,10042,Law Review,Sanders,Joseph,0,0,0,0,0,2,0,
Summer 2023,LAW,5410,01,10042,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,LAW,6209,01,10043,Health Law Journal,Mantel,Jessica,0,0,0,0,0,1,0,
Summer 2024,LAW,6354,01,10043,Houston Journal of Int'l Law,Trujillo,Elizabeth I,0,0,0,0,0,1,0,
Fall 2024,ARCH,2500,01,10044,Arc/Int Arc Design Studio III,Gonzales,Michael A,14,2,4,0,0,0,0,3.302
Summer 2023,LAW,6211,01,10044,Houston Buiness/Tax Journal,Wells,Douglas,0,0,0,0,0,1,0,
Summer 2023,LAW,6318,01,10045,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,1,0,
Fall 2024,ARCH,2500,05,10046,Arc/Int Arc Design Studio III,Murray,Cara,6,10,1,0,0,0,1,3.178
Fall 2022,ARCH,2500,01,10047,Arc/Int Arc Design Studio III,Gonzales,Michael A,8,8,1,0,0,0,1,3.354
Fall 2023,ARCH,2500,01,10047,Arc/Int Arc Design Studio III,Gonzales,Michael A,10,5,1,1,0,0,0,3.334
Fall 2024,ARCH,2500,11,10048,Arc/Int Arc Design Studio III,Wienert,Ross George,11,7,0,0,0,0,0,3.519
Summer 2024,ECON,3332,1,10048,Intermediate Microeconomics,Troncoso,Pablo A,14,7,4,0,0,0,0,3.426
Fall 2022,ARCH,2500,05,10049,Arc/Int Arc Design Studio III,Li,Leyuan,12,4,1,0,0,0,1,3.608
Fall 2023,ARCH,2500,05,10049,Arc/Int Arc Design Studio III,Lutz,Shawn M,10,4,2,0,0,0,0,3.459
Summer 2024,ECON,8399,1,10049,Doctoral Dissertation,Yi,Kei-Mu,1,0,0,0,0,0,0,4.000
Fall 2022,ARCH,2500,09,10051,Arc/Int Arc Design Studio III,Wienert,Ross George,6,10,1,0,0,0,1,3.275
Fall 2024,ARCH,5500,03,10051,Architecture Design Studio IX,Longoria,Rafael R,5,0,0,0,0,0,0,4.000
Summer 2022,COMM,6398,04,10051,Special Problems,Vardeman,Jennifer E,1,0,0,0,0,0,0,4.000
Summer 2024,ECON,8699,3,10051,Doctoral Dissertation,Sorensen,Bent E,0,0,0,0,0,1,0,
Fall 2022,ARCH,2500,11,10053,Arc/Int Arc Design Studio III,Murray,Cara,4,7,4,2,0,0,1,2.765
Fall 2023,ARCH,2500,11,10053,Arc/Int Arc Design Studio III,Murray,Cara,3,7,3,1,1,0,1,2.645
Summer 2023,ECON,3332,01,10053,Intermediate Microeconomics,Lin,Shuan-Wen,11,2,2,3,1,0,1,2.948
Fall 2022,ARCH,2500,13,10055,Arc/Int Arc Design Studio III,Medina Vilela,Mario Andre,5,8,3,0,1,0,0,2.922
Fall 2024,ARCH,6340,01,10055,Architectural History Survey I,Ramaswamy,Deepa,5,5,2,2,0,0,0,2.976
Summer 2022,ECON,3332,01,10055,Intermediate Microeconomics,Sugiura,Ko,3,1,8,0,3,0,0,2.133
Fall 2023,ARCH,4373,01,10057,Urban Environments,Rifaat,Shafik I,109,10,0,0,0,0,0,3.805
Fall 2024,ARCH,7600,01,10057,Architecture Design Studio V,Race,Bruce Alan,2,1,0,0,0,0,0,3.337
Fall 2023,ARCH,5500,03,10058,Architecture Design Studio IX,Longoria,Rafael R,6,0,0,0,0,0,0,3.890
Fall 2024,INDS,2340,01,10059,Visual Communication,Jamjoom,Zain Ahmed,2,11,1,0,1,0,1,2.889
Fall 2023,ARCH,6301,01,10060,Visual Studies I,Logan,Jason,7,2,2,0,0,0,0,3.365
Fall 2022,ARCH,4373,01,10061,Urban Environments,Rifaat,Shafik I,36,76,0,0,1,0,2,3.298
Fall 2024,INDS,2355,01,10061,Design History I,Westich,Stephen,6,18,5,1,0,0,1,2.912
Fall 2023,ARCH,6340,01,10062,Architectural History Survey I,Ramaswamy,Deepa,5,5,1,0,0,0,0,3.244
Summer 2023,ECON,8699,01,10062,Doctoral Dissertation,Yi,Kei-Mu,0,0,0,0,0,1,0,
Fall 2024,INDS,3500,01,10062,Industrial Design Studio V,Feng,Jeff Feng,3,11,0,0,0,0,0,3.261
Summer 2024,SPAN,2311,01,10062,Intermediate Spanish I,Jouannet De La Jara,Sebastian Nicolas,7,10,3,1,1,0,0,2.910
Summer 2024,SPAN,2311,03,10063,Intermediate Spanish I,del Castillo Garza,Alejandro,6,10,4,0,0,0,2,3.034
Fall 2022,ARCH,5500,03,10064,Architecture Design Studio IX,Longoria,Rafael R,5,1,0,0,0,0,0,3.668
Fall 2023,ARCH,7600,01,10064,Architecture Design Studio V,Race,Bruce Alan,1,2,0,0,0,0,0,3.553
Summer 2022,ECON,8699,01,10064,Doctoral Dissertation,Yi,Kei-Mu,0,0,0,0,0,4,0,
Summer 2024,SPAN,2312,01,10064,Intermediate Spanish II,Scalzo,Dillon S,4,16,6,0,0,0,0,2.910
Summer 2022,ECON,8699,03,10065,Doctoral Dissertation,Liu,Elaine Meichen,1,0,0,0,0,0,0,4.000
Summer 2024,SPAN,2307,01,10065,Span for Heritage Learners I,Lopez Otero,Julio Cesar,11,2,2,1,2,0,0,3.074
Fall 2022,ARCH,6301,01,10066,Visual Studies I,Logan,Jason,5,4,0,0,0,0,0,3.629
Fall 2023,INDS,2340,01,10066,Visual Communication,Jamjoom,Zain Ahmed,4,5,4,1,0,0,0,2.951
Fall 2024,ACCT,2301,01,10067,Prin of Financial Accounting,Sykes,Mary Reeves,33,11,7,3,0,0,4,3.450
Summer 2024,SPAN,6398,04,10067,Special Problems,Gutierrez,Manuel J,0,0,0,0,0,0,0,
Fall 2024,ACCT,2301,02,10068,Prin of Financial Accounting,Serrato,Darlene Marie  Bohac,19,62,29,26,12,0,20,2.431
Fall 2022,ARCH,6340,01,10068,Architectural History Survey I,Ramaswamy,Deepa,7,3,0,0,0,0,0,3.700
Fall 2023,INDS,2355,01,10068,Design History I,Ramirez,Enrique,18,9,2,0,0,0,1,3.461
Fall 2023,INDS,3500,01,10069,Industrial Design Studio V,Feng,Jeff Feng,3,10,0,0,0,0,0,3.282
Summer 2024,SPAN,7398,01,10069,Reading & Research,Gutierrez,Manuel J,0,0,0,0,0,1,0,
Fall 2024,ACCT,3377,01,10070,Cost Accounting,Lin,Haijin,19,24,11,0,2,0,3,2.989
Fall 2024,ACCT,3377,02,10071,Cost Accounting,Lin,Haijin,26,19,12,0,1,0,0,3.184
Summer 2022,ENGL,1301,01,10071,First Year Writing I,O'Bryan,Ann Patricia,13,2,1,0,5,0,0,2.857
Fall 2023,INDS,4500,01,10071,Industrial Design Studio VII,Morshedzadeh,Elham,2,6,0,0,0,0,0,3.168
Summer 2024,SPAN,8699,01,10071,Dissertation,Rivera Garza,Cristina,0,0,0,0,0,1,0,
Fall 2024,ACCT,3368,01,10072,Intermediate Accounting II,Muslu,Volkan,3,9,14,0,1,0,0,2.408
Summer 2024,SPAN,8699,02,10072,Dissertation,Hasbun,Rodrigo,0,0,0,0,0,1,0,
Fall 2024,ACCT,4335,01,10073,Financial Statement Auditing,Zhao,Yuping,30,42,2,1,0,0,0,3.355
Fall 2023,ACCT,2301,01,10074,Prin of Financial Accounting,Goble,Samuel,19,35,10,4,2,0,9,3.051
Fall 2024,ACCT,4375,01,10074,Internal Audit Entity Environ,Brant Jr,Robert Edward,3,13,3,1,0,0,1,2.999
Summer 2024,ECON,2302,1,10074,Principles of Microeconomics,Hossain,Md Shahadath,51,87,9,0,0,0,0,3.263
Summer 2023,SOC,6399,03,10074,Masters Thesis,Anderson,Kathryn,0,0,0,0,0,0,0,
Fall 2023,ACCT,2301,02,10075,Prin of Financial Accounting,Goble,Samuel,15,36,7,2,5,0,1,2.927
Summer 2023,SPAN,2311,01,10075,Intermediate Spanish I,Pueyo Castan,Josefa,1,6,14,2,0,0,0,2.189
Fall 2023,ACCT,2301,03,10076,Prin of Financial Accounting,Goble,Samuel,37,62,33,9,9,0,23,2.845
Fall 2024,ACCT,6331,01,10076,Financial Accounting,Ramaswamy,Vinita,31,7,2,0,0,0,0,3.750
Fall 2022,ARCH,7600,01,10076,Architecture Design Studio V,Race,Bruce Alan,3,5,0,0,0,0,0,3.458
Summer 2023,SPAN,2311,03,10076,Intermediate Spanish I,Miranda Moreno,Sujaila Abigail,4,12,6,0,1,0,0,2.768
Fall 2023,ACCT,3377,01,10077,Cost Accounting,Lin,Haijin,13,13,9,5,0,0,2,2.850
Fall 2024,ACCT,6331,02,10077,Financial Accounting,Ramaswamy,Vinita,21,12,5,0,2,0,0,3.316
Summer 2023,SPAN,2312,01,10077,Intermediate Spanish II,Mejia Lara,Airy Sindik,2,9,5,1,0,0,0,2.570
Fall 2023,ACCT,3377,02,10078,Cost Accounting,Lin,Haijin,19,22,12,3,0,0,3,2.983
Fall 2024,ACCT,6331,04,10078,Financial Accounting,Zhu,Limin,6,13,6,0,2,0,0,2.802
Fall 2022,INDS,2340,01,10078,Visual Communication,Jamjoom,Zain Ahmed,11,9,4,1,1,0,2,3.102
Summer 2023,SPAN,2307,01,10078,Span for Heritage Learners I,Hernandez,Estela,15,3,2,0,0,0,0,3.584
Fall 2023,ACCT,3368,01,10079,Intermediate Accounting II,Muslu,Volkan,0,11,11,1,0,0,1,2.349
Fall 2024,ACCT,7330,01,10079,Advanced Accounting,Larson,Chad R,7,6,0,1,1,0,0,3.089
Fall 2023,ACCT,4335,01,10080,Financial Statement Auditing,Zhao,Yuping,25,32,5,0,1,0,0,3.270
Fall 2024,ACCT,7330,02,10080,Advanced Accounting,Larson,Chad R,11,15,2,0,1,0,1,3.173
Summer 2024,BIOL,1106,01,10080,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,12,5,1,0,0,0,0,3.629
Fall 2022,INDS,2355,01,10080,Design History I,Ramirez,Enrique,16,1,3,2,0,0,1,3.289
Fall 2023,ACCT,4375,01,10081,Internal Audit Entity Environ,Brant Jr,Robert Edward,5,8,5,0,0,0,0,3.055
Fall 2024,ACCT,7340,01,10081,Financial Statement Analysis,Lu,Tong,32,2,0,0,0,0,0,3.893
Summer 2024,BIOL,1106,02,10081,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,9,2,0,0,0,0,1,3.848
Fall 2023,ACCT,5367,01,10082,Intermediate Accounting I,Noland,Thomas R,5,4,4,0,0,0,0,3.229
Fall 2024,ACCT,7375,01,10082,Taxation of Business Entities,Mangano,Clifford A,11,12,0,0,1,0,0,3.347
Summer 2024,BIOL,1106,03,10082,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,12,1,2,0,0,0,0,3.579
Summer 2022,SPAN,2311,01,10082,Intermediate Spanish I,Delgadillo,Maria Jose,3,9,9,0,3,0,0,2.306
Fall 2023,ACCT,6331,01,10083,Financial Accounting,Larson,Chad R,10,7,1,0,0,0,1,3.482
Fall 2024,ACCT,8699,01,10083,Doctoral Dissertation,Lobo,Gerald,0,0,0,0,0,1,0,
Fall 2023,ACCT,6331,02,10084,Financial Accounting,Kuruvilla,Mohan,12,9,3,1,0,0,0,3.306
Fall 2024,ACCT,8999,01,10084,Doctoral Dissertation,Lu,Tong,0,0,0,0,0,1,0,
Summer 2024,BIOL,1306,01,10084,Biology for Science Majors I,Cheek,Ann Oliver,23,25,20,0,2,0,2,2.990
Fall 2022,INDS,3500,01,10084,Industrial Design Studio V,Feng,Jeff Feng,3,5,0,0,0,0,0,3.499
Summer 2022,SPAN,2311,03,10084,Intermediate Spanish I,Cicerchia,Jose,15,5,3,0,1,0,1,3.293
Summer 2023,SPAN,7298,01,10084,Reading & Research,Rivera Garza,Cristina,0,0,0,0,0,1,0,
Fall 2023,ACCT,6331,04,10085,Financial Accounting,Larson,Chad R,18,11,0,1,1,0,4,3.409
Fall 2024,ENTR,3310,01,10085,Entrepreneurship,Ortega,Carlos Alberto,143,38,5,2,1,0,8,3.606
Summer 2022,SPAN,2312,01,10085,Intermediate Spanish II,Said White,Erika,14,4,1,0,0,0,1,3.719
Fall 2023,ACCT,7330,01,10086,Advanced Accounting,Ramaswamy,Vinita,13,12,2,0,0,0,0,3.444
Fall 2024,ENTR,3310,02,10086,Entrepreneurship,Wilbur,Stephen,167,94,10,5,3,0,1,3.478
Fall 2022,INDS,4500,01,10086,Industrial Design Studio VII,Kimbrough,Mark S,8,3,1,0,0,0,0,3.638
Summer 2022,SPAN,2307,01,10086,Span for Heritage Learners I,Milner,Allison L,5,9,3,1,2,0,0,2.750
Fall 2023,ACCT,7330,02,10087,Advanced Accounting,Ramaswamy,Vinita,9,5,0,0,0,0,0,3.690
Summer 2024,CHEM,1111,02,10087,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,10,0,0,0,0,0,3.180
Fall 2024,ENTR,3312,01,10087,Corporate Entrepreneurship,Karonika,John R,33,9,3,0,0,0,4,3.645
Fall 2023,ACCT,7340,02,10088,Financial Statement Analysis,Lu,Tong,17,1,1,0,1,0,0,3.634
Summer 2024,CHEM,2123,01,10088,Organic Chemistry Lab I,Zaitsev,Vladimir G,4,9,8,0,0,0,0,2.841
Fall 2024,ENTR,3312,02,10088,Corporate Entrepreneurship,Karonika,John R,32,10,1,0,0,0,4,3.652
Fall 2022,ACCT,2301,01,10089,Prin of Financial Accounting,Goble,Samuel,38,45,24,8,7,0,10,2.868
Fall 2023,ACCT,7375,01,10089,Taxation of Business Entities,Fernandez,Ramon,5,11,4,0,0,0,2,3.149
Summer 2024,CHEM,2123,03,10089,Organic Chemistry Lab I,Zaitsev,Vladimir G,6,7,4,2,0,0,1,2.877
Fall 2024,ENTR,3312,03,10089,Corporate Entrepreneurship,Lish,Alan D,10,60,26,1,3,0,0,2.737
Fall 2023,ACCT,8699,01,10090,Doctoral Dissertation,Lobo,Gerald,1,0,0,0,0,0,0,4.000
Summer 2023,ECON,2302,01,10090,Principles of Microeconomics,Melendez Lugo,Joel,12,22,20,4,1,0,2,2.661
Fall 2024,FINA,3332,03,10090,Prin of Financial Management,Chisholm,Darla,23,47,37,39,10,0,40,2.195
Summer 2024,MATH,1324,02,10090,Finite Math with Applications,Sosa,Moses,16,20,12,10,10,0,6,2.275
Fall 2022,ACCT,2301,03,10091,Prin of Financial Accounting,Goble,Samuel,43,60,35,12,7,0,11,2.827
Fall 2023,ACCT,8999,01,10091,Doctoral Dissertation,Lu,Tong,0,0,0,0,0,1,0,
